,date,dscamt,REG_ID,TM_FC,TM_EF,MOD,STN,C,SKY,PRE,CONF,WF,RN_ST,MIN,MAX,MIN_L,MIN_H,MAX_L,MAX_H
198,2020-06-20,,11B10101,202006160600,202006200000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,20,31,1,1,1,2
199,2020-06-21,,11B10101,202006160600,202006210000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,21,31,1,1,2,1
200,2020-06-22,,11B10101,202006160600,202006220000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,21,32,1,0,2,3
201,2020-06-23,,11B10101,202006160600,202006230000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,21,32,1,1,1,3
202,2020-06-24,,11B10101,202006160600,202006240000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,21,31,1,1,2,2
203,2020-06-25,,11B10101,202006160600,202006250000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",21,29,1,1,3,3
204,2020-06-28,,11B10101,202006250600,202006280000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,22,30,1,1,2,2
205,2020-06-29,,11B10101,202006250600,202006290000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,22,29,1,2,3,1
206,2020-06-30,,11B10101,202006250600,202006300000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,22,30,1,1,2,1
207,2020-07-01,477491539.0,11B10101,202006250600,202007010000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,21,29,2,1,1,1
208,2020-07-02,460808163.0,11B10101,202006250600,202007020000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,21,29,2,1,1,1
209,2020-07-03,458795872.0,11B10101,202006250600,202007030000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,22,29,1,1,1,1
210,2020-07-04,489716765.0,11B10101,202006250600,202007040000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",22,28,1,1,2,2
211,2020-07-05,588588577.0,,,,,,,,,,,,,,,,,
212,2020-07-06,537433209.0,,,,,,,,,,,,,,,,,
213,2020-07-07,478781299.0,11B10101,202007040600,202007070000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,22,29,1,1,1,1
214,2020-07-08,469760561.0,11B10101,202007040600,202007080000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,22,29,1,1,2,1
215,2020-07-09,463524493.0,11B10101,202007040600,202007090000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,22,30,1,1,2,1
216,2020-07-10,446150859.0,11B10101,202007040600,202007100000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,23,29,1,1,2,1
217,2020-07-11,506647398.0,11B10101,202007040600,202007110000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,27,1,1,1,2
218,2020-07-12,546919533.0,11B10101,202007040600,202007120000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,27,2,1,1,2
219,2020-07-13,465984776.0,11B10101,202007040600,202007130000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,27,1,1,1,2
220,2020-07-14,529361805.0,,,,,,,,,,,,,,,,,
221,2020-07-15,476697855.0,,,,,,,,,,,,,,,,,
222,2020-07-16,480507736.0,11B10101,202007130600,202007160000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,21,29,2,2,1,1
223,2020-07-17,480057983.0,11B10101,202007130600,202007170000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,21,30,2,1,1,1
224,2020-07-18,525015375.0,11B10101,202007130600,202007180000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,22,30,2,1,1,1
225,2020-07-19,588071060.0,11B10101,202007130600,202007190000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,22,28,1,1,2,1
226,2020-07-20,556202813.0,11B10101,202007130600,202007200000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,28,1,1,1,2
227,2020-07-21,506686096.0,11B10101,202007130600,202007210000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,27,1,1,1,1
228,2020-07-22,454273249.0,11B10101,202007130600,202007220000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,28,1,1,1,1
229,2020-07-23,361154111.0,,,,,,,,,,,,,,,,,
230,2020-07-24,548848238.0,,,,,,,,,,,,,,,,,
231,2020-07-25,527337410.0,11B10101,202007220600,202007250000,A01,109,2,WB03,WB09,¾øA½,"""구름많고","비""",22,29,1,1,1,1
232,2020-07-26,606772016.0,11B10101,202007220600,202007260000,A01,109,2,WB03,WB09,¾øA½,"""구름많고","비""",21,29,1,1,2,1
233,2020-07-27,539706213.0,11B10101,202007220600,202007270000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,22,29,1,1,1,1
234,2020-07-28,499412934.0,11B10101,202007220600,202007280000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",22,28,1,1,2,1
235,2020-07-29,442360938.0,11B10101,202007220600,202007290000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,29,1,1,1,1
236,2020-07-30,492962763.0,11B10101,202007220600,202007300000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,30,1,1,1,1
237,2020-07-31,470823845.0,11B10101,202007220600,202007310000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,23,29,1,1,1,1
238,2020-08-01,477452785.0,,,,,,,,,,,,,,,,,
239,2020-08-02,530325492.0,,,,,,,,,,,,,,,,,
240,2020-08-03,528416603.0,11B10101,202007310600,202008030000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,28,1,1,1,1
241,2020-08-04,529545727.0,11B10101,202007310600,202008040000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,29,1,1,1,1
242,2020-08-05,464622405.0,11B10101,202007310600,202008050000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,29,1,1,1,2
243,2020-08-06,473731097.0,11B10101,202007310600,202008060000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,29,1,1,2,1
244,2020-08-07,464886487.0,11B10101,202007310600,202008070000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,28,1,1,1,2
245,2020-08-08,453782799.0,11B10101,202007310600,202008080000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",23,29,1,1,1,1
246,2020-08-09,546533832.0,11B10101,202007310600,202008090000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,29,1,1,1,1
247,2020-08-10,520053483.0,,,,,,,,,,,,,,,,,
248,2020-08-11,488372330.0,,,,,,,,,,,,,,,,,
249,2020-08-12,459010616.0,11B10101,202008090600,202008120000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,30,1,1,1,1
250,2020-08-13,447337237.0,11B10101,202008090600,202008130000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",25,30,1,1,1,1
251,2020-08-14,447797343.0,11B10101,202008090600,202008140000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,29,1,1,1,1
252,2020-08-15,448978016.0,11B10101,202008090600,202008150000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,29,1,1,1,1
253,2020-08-16,513166064.0,11B10101,202008090600,202008160000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,30,1,1,1,1
254,2020-08-17,529077189.0,11B10101,202008090600,202008170000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,30,1,1,1,1
255,2020-08-18,538867688.0,11B10101,202008090600,202008180000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",40,24,30,1,1,1,1
256,2020-08-19,475036039.0,,,,,,,,,,,,,,,,,
257,2020-08-20,457768508.0,,,,,,,,,,,,,,,,,
258,2020-08-21,435092047.0,11B10101,202008180600,202008210000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,24,32,1,1,1,2
259,2020-08-22,440916634.0,11B10101,202008180600,202008220000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,32,1,1,1,1
260,2020-08-23,604098874.0,11B10101,202008180600,202008230000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,23,31,1,1,1,1
261,2020-08-24,511854492.0,11B10101,202008180600,202008240000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,30,1,1,1,1
262,2020-08-25,458815714.0,11B10101,202008180600,202008250000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,31,1,1,1,1
263,2020-08-26,450800231.0,11B10101,202008180600,202008260000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,31,1,1,1,2
264,2020-08-27,408038359.0,11B10101,202008180600,202008270000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,24,32,1,1,2,1
265,2020-08-28,428150119.0,,,,,,,,,,,,,,,,,
266,2020-08-29,428298403.0,,,,,,,,,,,,,,,,,
267,2020-08-30,567322179.0,11B10101,202008270600,202008300000,A01,109,2,WB03,WB09,¾øA½,"""구름많고","비""",25,32,1,1,1,1
268,2020-08-31,510405851.0,11B10101,202008270600,202008310000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",40,24,33,1,1,1,1
269,2020-09-01,456239247.0,11B10101,202008270600,202009010000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",40,24,31,1,1,1,1
270,2020-09-02,386041349.0,11B10101,202008270600,202009020000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",24,30,1,1,2,1
271,2020-09-03,462561792.0,11B10101,202008270600,202009030000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",22,29,1,1,1,2
272,2020-09-04,433631589.0,11B10101,202008270600,202009040000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,22,29,2,2,1,1
273,2020-09-05,451324742.0,11B10101,202008270600,202009050000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,22,29,2,2,1,1
274,2020-09-06,503561335.0,,,,,,,,,,,,,,,,,
275,2020-09-07,400220056.0,,,,,,,,,,,,,,,,,
276,2020-09-08,506077117.0,11B10101,202009050600,202009080000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",21,25,1,1,2,1
277,2020-09-09,412460829.0,11B10101,202009050600,202009090000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",40,20,26,1,1,1,1
278,2020-09-10,427021945.0,11B10101,202009050600,202009100000,A01,109,2,WB03,WB09,¾øA½,"""구름많고","비""",20,27,1,1,1,1
279,2020-09-11,391678834.0,11B10101,202009050600,202009110000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,20,27,1,1,1,1
280,2020-09-12,414769053.0,11B10101,202009050600,202009120000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,20,27,2,2,1,1
281,2020-09-13,529067089.0,11B10101,202009050600,202009130000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,20,27,2,2,1,1
282,2020-09-14,470365183.0,11B10101,202009050600,202009140000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,19,27,2,2,1,1
283,2020-09-15,424575973.0,,,,,,,,,,,,,,,,,
284,2020-09-16,401341992.0,,,,,,,,,,,,,,,,,
285,2020-09-17,410350828.0,11B10101,202009140600,202009170000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",19,25,1,1,1,1
286,2020-09-18,397986848.0,11B10101,202009140600,202009180000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,17,25,1,1,1,1
287,2020-09-19,430394459.0,11B10101,202009140600,202009190000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,17,25,1,2,1,1
288,2020-09-20,512453074.0,11B10101,202009140600,202009200000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,16,25,2,1,1,1
289,2020-09-21,461763042.0,11B10101,202009140600,202009210000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,16,25,2,2,2,1
290,2020-09-22,421128947.0,11B10101,202009140600,202009220000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,15,25,2,2,1,2
291,2020-09-23,408628152.0,11B10101,202009140600,202009230000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,15,25,1,2,1,2
292,2020-09-24,411693998.0,,,,,,,,,,,,,,,,,
293,2020-09-25,410105734.0,,,,,,,,,,,,,,,,,
294,2020-09-26,457879036.0,11B10101,202009230600,202009260000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,16,25,1,1,1,0
295,2020-09-27,552806954.0,11B10101,202009230600,202009270000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,15,25,2,1,1,1
296,2020-09-28,511124477.0,11B10101,202009230600,202009280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,15,24,1,1,1,1
297,2020-09-29,541350150.0,11B10101,202009230600,202009290000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,16,24,1,1,1,1
298,2020-09-30,579475777.0,11B10101,202009230600,202009300000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,15,23,1,1,1,1
299,2020-10-01,462390755.0,11B10101,202009230600,202010010000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,14,22,2,1,2,1
300,2020-10-02,481747532.0,11B10101,202009230600,202010020000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,13,21,3,3,2,2
301,2020-10-03,427545660.0,,,,,,,,,,,,,,,,,
302,2020-10-04,533244540.0,,,,,,,,,,,,,,,,,
303,2020-10-05,503726825.0,11B10101,202010020600,202010050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,10,18,1,1,1,1
304,2020-10-06,433548889.0,11B10101,202010020600,202010060000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,9,19,1,1,1,1
305,2020-10-07,414382725.0,11B10101,202010020600,202010070000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,10,21,2,2,1,2
306,2020-10-08,406820496.0,11B10101,202010020600,202010080000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,11,22,1,1,1,1
307,2020-10-09,405157779.0,11B10101,202010020600,202010090000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,11,22,1,1,1,1
308,2020-10-10,470945972.0,11B10101,202010020600,202010100000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,13,23,2,2,2,2
309,2020-10-11,530031641.0,11B10101,202010020600,202010110000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,13,23,2,2,2,2
310,2020-10-12,476223773.0,,,,,,,,,,,,,,,,,
311,2020-10-13,421104361.0,,,,,,,,,,,,,,,,,
312,2020-10-14,396359276.0,11B10101,202010110600,202010140000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,10,18,1,1,2,1
313,2020-10-15,402126664.0,11B10101,202010110600,202010150000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,9,19,3,3,2,2
314,2020-10-16,389773020.0,11B10101,202010110600,202010160000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,10,19,2,2,1,1
315,2020-10-17,428025415.0,11B10101,202010110600,202010170000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,9,19,1,2,1,1
316,2020-10-18,523708967.0,11B10101,202010110600,202010180000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,10,20,2,2,1,1
317,2020-10-19,474503766.0,11B10101,202010110600,202010190000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,10,20,2,1,1,1
318,2020-10-20,422982903.0,11B10101,202010110600,202010200000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,10,20,2,2,2,2
319,2020-10-21,401945448.0,,,,,,,,,,,,,,,,,
320,2020-10-22,402667154.0,,,,,,,,,,,,,,,,,
321,2020-10-23,385554582.0,11B10101,202010200600,202010230000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,5,14,1,1,0,1
322,2020-10-24,415167627.0,11B10101,202010200600,202010240000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,4,15,0,0,1,1
323,2020-10-25,522572321.0,11B10101,202010200600,202010250000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,7,18,1,1,1,1
324,2020-10-26,485221260.0,11B10101,202010200600,202010260000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,9,19,1,2,1,0
325,2020-10-27,424267655.0,11B10101,202010200600,202010270000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,9,19,1,1,1,1
326,2020-10-28,409625170.0,11B10101,202010200600,202010280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,10,18,2,1,1,2
327,2020-10-29,408270136.0,11B10101,202010200600,202010290000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,9,17,2,2,2,2
328,2020-10-30,399117046.0,,,,,,,,,,,,,,,,,
329,2020-10-31,430165283.0,,,,,,,,,,,,,,,,,
330,2020-11-01,,11B10101,202010290600,202011010000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",10,15,0,1,1,1
331,2020-11-02,,11B10101,202010290600,202011020000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",40,7,14,2,2,1,1
332,2020-11-03,,11B10101,202010290600,202011030000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,2,11,1,1,1,1
333,2020-11-04,,11B10101,202010290600,202011040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,1,13,0,1,2,1
334,2020-11-05,,11B10101,202010290600,202011050000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,4,15,1,3,2,2
335,2020-11-06,,11B10101,202010290600,202011060000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,6,15,2,1,2,2
336,2020-11-07,,11B10101,202010290600,202011070000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,7,16,2,1,2,1
337,2020-11-10,,11B10101,202011070600,202011100000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,2,12,1,1,1,1
338,2020-11-11,,11B10101,202011070600,202011110000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,3,15,1,3,1,1
339,2020-11-12,,11B10101,202011070600,202011120000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,6,15,3,2,1,1
340,2020-11-13,,11B10101,202011070600,202011130000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,7,15,2,1,1,1
341,2020-11-14,,11B10101,202011070600,202011140000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,7,15,2,2,1,1
342,2020-11-15,,11B10101,202011070600,202011150000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,6,14,1,1,1,2
343,2020-11-16,,11B10101,202011070600,202011160000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,6,14,1,2,2,2
344,2020-11-19,,11B10101,202011160600,202011190000,A01,109,2,WB04,WB09,¾øA½,"""흐리고","비""",15,17,2,2,0,1
345,2020-11-20,,11B10101,202011160600,202011200000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,8,10,2,2,2,2
346,2020-11-21,,11B10101,202011160600,202011210000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,3,12,2,3,2,2
347,2020-11-22,,11B10101,202011160600,202011220000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,4,11,3,3,3,2
348,2020-11-23,,11B10101,202011160600,202011230000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",30,1,10,2,3,3,2
349,2020-11-24,,11B10101,202011160600,202011240000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,2,9,3,2,2,2
350,2020-11-25,,11B10101,202011160600,202011250000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,2,8,2,3,2,2
351,2020-11-28,,11B10101,202011250600,202011280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-4,3,0,0,1,0
352,2020-11-29,,11B10101,202011250600,202011290000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-3,4,1,1,1,1
353,2020-11-30,,11B10101,202011250600,202011300000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-3,5,0,1,0,1
354,2020-12-01,486680335.0,11B10101,202011250600,202012010000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-3,5,1,1,1,1
355,2020-12-02,474650382.0,11B10101,202011250600,202012020000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-1,6,2,1,2,1
356,2020-12-03,460059722.0,11B10101,202011250600,202012030000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-2,5,1,1,1,1
357,2020-12-04,460269196.0,11B10101,202011250600,202012040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-3,4,1,1,1,1
358,2020-12-05,505383706.0,,,,,,,,,,,,,,,,,
359,2020-12-06,620383064.0,,,,,,,,,,,,,,,,,
360,2020-12-07,516051277.0,11B10101,202012040600,202012070000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,1,7,2,1,1,1
361,2020-12-08,466046160.0,11B10101,202012040600,202012080000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-3,4,3,2,2,2
362,2020-12-09,466546095.0,11B10101,202012040600,202012090000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-3,5,1,2,2,2
363,2020-12-10,463204801.0,11B10101,202012040600,202012100000,A01,109,2,WB04,WB00,¾øA½,"""흐림""",40,0,6,1,4,2,2
364,2020-12-11,448217490.0,11B10101,202012040600,202012110000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-2,5,2,2,2,2
365,2020-12-12,499110336.0,11B10101,202012040600,202012120000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-2,5,2,2,2,2
366,2020-12-13,564601227.0,11B10101,202012040600,202012130000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-1,5,2,2,4,3
367,2020-12-14,487529606.0,,,,,,,,,,,,,,,,,
368,2020-12-15,433818482.0,,,,,,,,,,,,,,,,,
369,2020-12-16,427691523.0,11B10101,202012130600,202012160000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-10,-2,1,1,1,1
370,2020-12-17,441313465.0,11B10101,202012130600,202012170000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-7,3,1,1,1,1
371,2020-12-18,425147490.0,11B10101,202012130600,202012180000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-4,4,2,1,1,2
372,2020-12-19,445972141.0,11B10101,202012130600,202012190000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-3,2,2,3,2,2
373,2020-12-20,559336274.0,11B10101,202012130600,202012200000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-6,2,1,5,1,1
374,2020-12-21,494722444.0,11B10101,202012130600,202012210000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-5,3,2,2,2,2
375,2020-12-22,443898435.0,11B10101,202012130600,202012220000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-4,3,3,2,4,2
376,2020-12-23,437291681.0,,,,,,,,,,,,,,,,,
377,2020-12-24,444825486.0,,,,,,,,,,,,,,,,,
378,2020-12-25,438462362.0,11B10101,202012220600,202012250000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-5,3,0,0,1,1
379,2020-12-26,513189510.0,11B10101,202012220600,202012260000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-3,6,1,1,2,1
380,2020-12-27,570187891.0,11B10101,202012220600,202012270000,A01,109,2,WB04,WB11,¾øA½,"""흐리고","비/눈""",1,5,1,1,1,1
381,2020-12-28,514003860.0,11B10101,202012220600,202012280000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-4,1,2,2,2,2
382,2020-12-29,447506723.0,11B10101,202012220600,202012290000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-8,-4,2,1,2,3
383,2020-12-30,388704500.0,11B10101,202012220600,202012300000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-12,-5,1,2,1,1
384,2020-12-31,475842133.0,11B10101,202012220600,202012310000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-13,-5,1,1,1,1
385,2021-01-01,422074331.0,,,,,,,,,,,,,,,,,
386,2021-01-02,493889118.0,,,,,,,,,,,,,,,,,
387,2021-01-03,549559860.0,11B10101,202012310600,202101030000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-9,-1,1,1,1,2
388,2021-01-04,487897716.0,11B10101,202012310600,202101040000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-7,1,1,1,2,2
389,2021-01-05,418365430.0,11B10101,202012310600,202101050000,A01,109,2,WB03,WB00,¾øA½,"""구름많음""",20,-6,-1,1,2,1,1
390,2021-01-06,410934630.0,11B10101,202012310600,202101060000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",0,-10,-3,1,1,1,1
391,2021-01-07,331486081.0,11B10101,202012310600,202101070000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",20,-11,-4,2,3,2,3
392,2021-01-08,350371982.0,11B10101,202012310600,202101080000,A01,109,2,WB01,WB00,¾øA½,"""맑음""",10,-12,-5,2,2,1,2
